STATION CODE,LOCATIONS,STATE,Temp,D.O. (mg/l),PH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATENAN N+ NITRITENANN (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)Mean,year
2877,"KHUGA DAM ON KHUGA RIVER, CHURACHANDPUR, MANIPUR",MANIPUR,19.0,5.8,7.8,779.0,10.0,0.85,2568.0,2448.0,
1435,"KOLAK AT RAILWAY BRIDGE NO. 313 VAPI,VALSAD, GUJARAT",NAN,25.0,6.0,7.3,8838.0,5.58,0.7,14.0,31.0,2008.0
1160,"TAMBIRAPARANI AT CHERANMADEVI,CAUSE WAY,TAMILNADU",NAN,28.0,6.8,6.5,88.0,0.9,0.11,111.0,233.0,2007.0
1442,"VAMANAPURAM, KERALA",NAN,27.0,7.6,6.7,55.0,0.7,4.17,295.0,1575.0,2008.0
NAN,"IMPHAL AT KOIRENGEI, MANIPUR",NAN,,7.4,7.0,82.3,2.0269999999999997,,,44.0,2005.0
2464,"DAMANGANGA AT D/S OF M/S SURAT BEVERAGES, VILLAGE DADRA, SILVASSA","DAMAN, DIU, DADRA NAGAR HAVELI",18.66776861,9.099173542,7.133388431,308.0,1.9,2.649421479,,,
1569,"THALIPARAMBA, KERALA",NAN,28.0,6.832999999999999,7.0,18389.0,0.7,0.345,173.0,583.0,2006.0
3370,"KYNSHI RIVER AT NANGKHNUM, WEST KHASI HILLS",MEGHALAYA,10.72954037,9.675448449,7.072954037000001,245.0,1.8,4.270459626,,30.0,
21,CHALIYAR AT CHUNGAPALLY,NAN,26.2,7.0,7.1,5228.0,0.6,0.34,240.0,455.0,2010.0
1455,"RUSHIKULYA AT GANJAM U/S, ORISSA",NAN,32.0,7.7,8.1,266.0,1.83,1.01,1950.0,3175.0,2008.0
3351,UMKHEN AT KSEHPONGDENG,MEGHALAYA,19.23422394,8.674332047,7.161711197000001,55.0,0.5,2.352032433,58.0,130.0,
1893,YAGACHI RIVER NEAR PUMPING STATION. HASSAN CITY,KARNATAKA,27.4,5.4,7.7,394.0,1.0,0.1,913.0,3600.0,
1092,"KALU AT ATALE VILLAGE, MAHARASHTRA",MAHARASHTRA,18.428477700000002,9.278641728,7.121423885,655.0,5.93,2.7750492089999996,4.0,12.0,
2288,R PALLICKAL AT NELLIMUKAL,KERALA,25.1,6.0,7.3,92.0,1.7,0.56,256.0,597.0,2013.0
1705,GHAGGAR AT U/S SARDULGARH,PUNJAB,19.49934921,8.475488095,7.17496746,70.0,3.4,2.212841666,3896.0,6742.0,
1450,"PALAR AT VANIYAMBADI WATER SUPPLY HEAD WORK, TAMILNADU",TAMIL NADU,19.34733317,8.589500119,7.167366659,119.0,0.4,2.2926500830000003,620.0,1080.0,
2296,R THALLASSERY AT PATHIPPALAM,KERALA,19.67899784,8.340751617999999,7.183949892,122.0,0.7,2.118526132,170.0,280.0,
2688,"PATALGANGA AT SAVROLI BDG, KHALAPUR. RAIGAD",NAN,26.8,6.7,7.3,130.0,3.4,0.57,133.0,318.0,2010.0
3377,"MYNTANG RIVER AT NARTIANG, JAYANTIA HILLS",MEGHALAYA,20.0,7.3,7.1,55.0,1.9,2.5,24.0,53.0,2014.0
43,MUVATTAPUZHA AT VETTIKKATTUMUKKU,NAN,14.0,6.2,7.88,17771.0,1.0,17.387,2638.0,4003.0,
3133,KAMALA RIVER AT JAYNAGAR,BIHAR,18.0,8.8,8.2,340.0,2.0,0.0,500.0,900.0,
1443,ACHENKOIL AT CHENNITHULA,KERALA,18.42904531,9.278216019,7.121452265,401.0,1.3,2.774751213,164.0,1529.0,
2162,,,10.0587916,8.80587916,7.008818739,1051.0,25.0,5.064670756,13.0,102.0,
3362,"UMKHRAH RIVER AT MAWPDANG, MAWLAI",MEGHALAYA,19.65374301,8.359692743,7.18268715,308.0,4.2,2.13178492,21.0,67.0,
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,10.9315456,9.917854717,7.09315456,129.0,3.2,4.0684544030000005,1033.0,1483.0,
2466,"DAMANGANGA AT VILLAGE NAMDHA, VAPI",DAMAN & DIU,22.0,7.8,7.1,8782.0,1.9,2.62,4.0,12.0,
1094,ULHAS AT U/S OF BADLAPUR,MAHARASHTRA,25.9,7.0,7.8,123.0,3.4,0.44,42.0,100.0,2011.0
NAN,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",NAN,,6.8,7.68,123.2,4.475,0.4,12.0,236.0,2005.0
1374,LOWER LAKE AT BHOPAL OUTLET M.P.,MADHYA PRADESH,25.7,9.1,8.0,461.0,5.5,1.06,7.0,363.0,
1627,"KIYAMGI, MANIPUR",NAN,24.0,5.48,7.42,180.0,2.08,,,136.0,2010.0
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,24.0,6.3,7.5,287.0,0.9,0.14,5.0,204.0,2012.0
1862,KAVERI ON BRIDGE AT BILLIMORANANVALSAD ROAD,GUJARAT,29.5,5.9,7.6,36593.0,3.9,0.07,1200.0,3200.0,2011.0
2671,"KUNDALIKA NEAR SALAV BDG (SALINA ZONE), SALAV, ROHA, RAIGAD",NAN,21.0,6.9,6.6,109.0,4.13,1.4,209.0,1700.0,
1547,RIVER TALPONA AT CANACONA,GOA,28.3,7.0,6.5,75.0,0.9,0.22,7.0,166.0,2011.0
2706,"SURYA U/S OF SURYA DAM, DHAMMI, VIKRAMGAD, THANE",NAN,28.2,7.1,7.7,193.0,3.1,0.53,41.0,92.0,2010.0
2653,"BHATSA AT D/S OF LIBERTY OIL MILLS, SATNEL, SHAHAPUR, THANE",NAN,,6.9,7.3,70.0,3.4,0.19,,,2010.0
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",DAMAN & DIU,29.8,4.7,7.6,46170.0,21.5,19.69,,,2010.0
2332,R BHARATHAPUZHA AT PATTAMBI,KERALA,29.8,6.6,7.7,191.0,1.6,0.2,362.0,661.0,2014.0
1025,"GHAGGAR GHNAN1 AT ROAD BRDG. SIRSA,DEBWALI ROAD,HARYANA",HARYANA,,,8.2,,19.8,0.0,,,2014.0
1442,"VAMANAPURAM, KERALA",NAN,28.0,6.7,6.7,80.0,1.3,0.5,1655.0,3050.0,2007.0
,,,21.0,5.9,7.799927202999999,49.0,1.1,3.4998762439999997,4.0,94.0,
3353,"UMIAM MAWPHLANG RIVER AT NONGKREM, EAST KHASI HILLS",MEGHALAYA,18.0,6.6,7.0,66.0,2.3,4.0,29.0,63.0,2013.0
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,18.9580237,8.881482229,7.147901185,182.0,1.1,2.49703756,7453.0,12640.0,
1093,NAN,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",29.0,6.9,7.6,136.0,3.8,0.26,143.0,309.0,2009.0
1215,"MANER AT WARANGAL U/S, A.P.",ANDHRA PRADESH,17.4,5.1,7.9,400.0,10.9,0.0,,,
2168,MITHI RIVER,MAHARASHTRA,26.1,3.6,7.4,4424.0,31.3,2.2,276.0,474.0,2014.0
1685,"ARASALAR RIVER KARAIKAL REGION, PONDICHERRY",PONDICHERRY,29.0,,7.3,386.0,,0.2,,,2014.0
1544,VALVANT AT SANKLI NAN BICHOLIM,GOA,29.0,7.1,6.5,60.0,1.7,0.13,2926.0,8163.0,2012.0
1546,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",NAN,28.0,6.7,7.2,95.0,1.4,0.1,18.0,22.0,2008.0
1404,GUMTI AT D/S SOUTH TRIPURA,TRIPURA,18.02700441,9.579746693999999,7.10135022,70.0,1.8,2.985822686,2864.0,4218.0,
3354,"UMIAM MAWPHLANG RIVER AT UMTYNGNGAR, EAST KHASI HILLS",MEGHALAYA,18.0,7.9,7.2,46.0,1.7,2.72,20.0,45.0,2012.0
2685,"PATALGANGA RIVER AT D/S OF KHARPADA BRIDGE, RAIGAD.",MAHARASHTRA,27.2,5.8,7.3,384.0,5.4,0.6,37.0,78.0,2014.0
2671,"KUNDALIKA RIVER NEAR SALAV BRIDGE (SALINA ZONE), SALAV, ROHA, RAIGAD",MAHARASHTRA,25.3,5.3,7.7,24062.0,9.9,1.2,156.0,304.0,
1702,NAN,"GHAGGAR AT U/S JHARMAL NADI, PUNJAB",21.0,4.5,7.2,885.0,10.5,3.3,1100.0,12000.0,2009.0
2300,R PERUVAMBA AT CHANDAPPURA,KERALA,18.03484213,9.5738684,7.101742107000001,18459.0,1.0,2.98170788,170.0,277.0,
1155,KARAMANA AT MOONNATTUMUKKU,KERALA,19.33161287,8.601290349,7.166580643,171.0,3.8,2.300903244,3896.0,6742.0,
2051,TLAWNG DOWNSTREAM AIZAWL,MIZORAM,23.4,8.0,7.0,278.0,1.1,0.11,3.0,18.0,2011.0
,,,19.73757492,5.783697557999999,8.086878746,112.0,1.2,8.094591066,,,
2296,THALLASSERY AT PATHIPPALAM,KERALA,11.34958315,8.934958315,7.202437472000001,211.0,1.1,6.484541462999999,12.0,242.0,
2276,RIVER BICHOLIM VARAZAN NAGAR,GOA,18.43457698,9.274067262,7.121728849,1269.0,30.3,2.771847083,8.0,382.0,
2937,"LAKE SILISERH, ALWAR, RAJASTHAN",RAJASTHAN,30.3,5.1,7.9,266.0,0.9,1.08,4.0,7.0,
1373,"UPPER LAKE AT BHOPAL (INTAKE POINT), M.P.",MADHYA PRADESH,26.0,8.3,8.3,270.0,2.1,3.0,4.0,87.0,
2335,R PERIYAR AT KALAMASSERY,KERALA,27.3,4.6,7.0,65.0,1.7,0.28,631.0,1937.0,2013.0
2294,R KALLAI AT KALLAI BRIDGE,KERALA,26.0,3.9,7.6,30298.0,2.5,0.59,4830.0,7240.0,2012.0
2853,"MAPITHEL DAM ON THOUBAL, THOUBAL",MANIPUR,28.0,11.4,7.2,128.0,1.0,,,20.0,2012.0
2462,"DAMANGANGA AT VAPI WEIR, VAPI",DAMAN & DIU,18.0,6.2,7.5,262.0,0.28,4.08,,652.0,
2271,"RIVER SAL PAZORKHONI,CUNCOLIM(NEAR CULVERT MARGAO- CANACONA NATIONAL HIGHWAY)",GOA,29.0,6.3,6.4,79.0,1.6,1.4,7592.0,12842.0,
1573,NAN,"CHAITRAPUZHA IRUMPANAM, KERALA",28.0,2.9,6.3,841.0,2.0,1.07,430.0,913.0,2009.0
1887,GHAGGAR BEFORE OTTU WEIR (BEFORE MIXING OF SATLUJ CANAL WATER) (HARYANA),NAN,31.0,6.8,7.0,970.0,25.3,20.2,,,2008.0
3305,"RIVER BANJAR AT MALANJKHAND NEAR W/S INTAKE POINT, JABALPUR",MADHYA PRADESH,22.0,7.3,7.3,402.0,2.1,0.0,4.0,32.0,2013.0
1246,"DAMANGANGA AT KACHIGAON D\S (DAMAN),GUJARAT",NAN,28.0,7.5,21331.0,3.6,11.7,,,14109.0,2003.0
2676,,,10.17934818,9.015217811,7.017934818,11170.0,3.0,4.820651824,11633.0,18125.0,
2335,R PERIYAR AT KALAMASSERY,KERALA,27.4,5.2,6.8,61.0,1.8,0.33,1123.0,2650.0,2011.0
1295,"GHAGGAR NEAR BANKARPUR,DERA BASSI",PUNJAB,11.51453313,8.951453313,7.22717997,93.0,1.9,6.665986445,3478.0,4990.0,
1569,"R KUPPAM AT THALIPARAMBA, KERALA",KERALA,28.4,5.9,6.8,13953.0,1.5,0.4,70.0,166.0,2014.0
1628,"MINUTHONG(IMPHAL RIVER, MANIPUR",NAN,23.0,5.13,7.46,162.0,2.23,,,211.0,2010.0
1870,"RIVER SUKHANA AT PARWANOO, DISTT. SOLAN",HIMACHAL PRADESH,18.0,6.2,7.5,788.0,41.5,4.08,105.0,235.0,2012.0
1393,NAN,"DAMANGANGA AT D/S OF MADHUBAN, DAMAN",28.0,7.3,7.4,332.0,0.7,0.3,6.0,12.0,2009.0
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR. RAIGAD",MAHARASHTRA,18.92060971,8.909542717999999,7.146030485,11855.0,12.5,2.516679903,,,
1315,"NIRA AT PULGAON COTTON MILL, WARDHA, MAHARASHTRA",MAHARASHTRA,31.6,5.1,8.3,435.0,9.7,2.5,152.0,231.0,
1568,"R MAHE AT VALAYAM, KERALA",KERALA,19.43228366,8.525787252999999,7.171614182999999,41.0,0.8,2.248051077,4698.0,8625.0,
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,22.0,7.8,7.9,327.0,1.2,0.35,4.0,97.0,
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,22.4,8.4,7.7,290.0,2.5,0.4,1567.0,3078.0,
1632,"GANOL RIVER TURA, MEGHALAYA",NAN,11.0,10.0,7.1,150.0,1.0,4.0,240.0,350.0,2006.0
2047,"NNANCHOE (ATTAWA CHOE), CHANDIGARH",NAN,29.0,,7.2,,50.0,0.27,,,2007.0
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",NAN,32.0,6.7,7.6,231.0,1.5,0.56,1460.0,3133.0,2007.0
NAN,"RIVER KHANDEPAR AT OPA NAN PONDA, GOA",NAN,29.0,8.6,6.56,181.4,2.423,0.276,24.0,155.0,2005.0
1704,GHAGGAR AT D/S SARDULGARH,PUNJAB,19.00381088,8.847141837,7.150190544,225.0,1.3,2.472999286,23.0,620.0,
2275,"RIVER CHAPORA NEAR ALORNA FORT ,PERNEM",GOA,28.8,7.0,7.0,55.0,1.2,0.66,1298.0,2813.0,2013.0
2689,"PATALGANGA AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,29.0,6.9,7.7,129.0,2.9,0.55,135.0,268.0,2012.0
1338,,,10.04705288,8.856463455,7.004705287999999,217.0,3.9,4.95294712,273.0,734.0,
,,,21.0,5.9,7.794818734,103.0,3.9,3.491191847,30.0,7.0,
2954,"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN",RAJASTHAN,25.8,5.2,8.2,556.0,1.0,0.6,4.0,10.0,
1642,NAGAVALLI AT JAYKAYPUR D/S,ORISSA,10.97410854,9.96893025,7.097410854,149.0,1.8,4.025891458,12.0,31.0,
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",NAN,24.0,7.8,8.5,197.0,0.6,3.01,1700.0,3500.0,2006.0
2443,GAUTAMINANGODAVARI RIVER,PONDICHERRY,17.09594261,9.003547843,7.393074164,359.0,,1.94261937,202.0,1468.0,
,,,21.0,6.438128086,7.830502469,43.0,0.7,2.498734969,,399.0,
,,,14.799769400000002,6.759838583,7.8160184479999995,1094.0,17.1,16.27771984,71.0,157.0,
1094,ULHAS AT U/S OF BADLAPUR,NAN,26.1,7.0,7.7,111.0,3.4,0.42,179.0,359.0,2010.0
1705,"U/S SARDULGARH, PUNJAB",PUNJAB,25.8,4.4,7.3,1002.0,21.5,4.0,21000.0,43750.0,2013.0
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,10.35687019,9.228244226000001,7.035687019,139.0,3.3,4.643129812,1286.0,3048.0,
1565,PAMBA DOWN,NAN,21.93316217,6.844558555,7.611139639,45.0,0.7,0.808886036,110.0,140.0,
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",NAN,27.0,6.4,7.6,109.0,3.4,0.42,95.0,316.0,2008.0
3365,"UMSHYRPI AT UMSHYRPI BDG, EAST KHASI HILLS",MEGHALAYA,19.33831516,8.596263627,7.166915757999999,237.0,1.8,2.2973845390000003,21.0,181.0,
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,27.0,6.3,7.7,430.0,5.5,0.3,15889.0,54333.0,
2295,R CORAPUZHA AT KANAYANKODE,KERALA,26.9,5.9,7.4,17990.0,0.7,0.5,1888.0,2803.0,2014.0
2287,,,14.46467901,9.433658238,7.266571106000001,527.0,1.2,2.830670832,114.0,193.0,
2307,R MANJESWAR AT BAJRAKKARA BR.,NAN,27.0,7.5,7.0,74.0,0.8,0.1,1400.0,2800.0,2008.0
2050,TLAWNG UPSTREAM AIZAWL,MIZORAM,23.6,7.1,7.5,189.0,1.9,1.0,,,2013.0
2462,"DAMANGANGA AT VAPI WEIR,VAPI","DAMAN, DIU, DADRA NAGAR HAVELI",18.11867689,9.510992335,7.105933844,860.0,3.3,2.9376946339999996,,664.0,
1865,NAN,RIVER DHADAR AT KOTHADA,30.0,2.5,7.5,1108.0,6.0,0.6,16.0,85.0,2009.0
1473,"GHAGGAR AT RATANHERI, D/S OF PATIALA NADI (AFTER CONFL.), PUNJAB",NAN,17.333,4.833,7.5329999999999995,760.0,13.333,1.933,2300.0,30000.0,2006.0
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",NAN,21.0,6.4,7.8,47.0,1.0,2.53,6073.0,9423.0,
1023,"GHAGGAR AT MUBARAKPUR REST HOUSE (PATIALA), PUNJAB",NAN,17.667,6.0329999999999995,7.367000000000001,323.3,3.267,0.667,2390.0,6867.0,2006.0
2271,"SAL PAZORKHONI, CUNCOLIM (NR CULVERT MARGAONAN CANACONA N.H.)",NAN,29.0,6.2,7.0,77.0,1.8,0.46,11.0,173.0,2010.0
NAN,"RIVER ASSONORA AT ASSONORA, GOA",NAN,28.0,7.4,6.07,142.8,1.681,0.276,12.0,140.0,2005.0
1462,,,10.2866974,9.144036884,7.02866974,1516.0,,4.713302597,4995.0,9517.0,
2139,UPPER LAKE AT BAIRAGARH CLUB,MADHYA PRADESH,25.4,7.1,8.1,273.0,2.2,4.0,4.0,94.0,
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,22.5,8.3,8.2,338.0,2.9,0.0,2617.0,3950.0,
2285,R MAMOM AT MAMOM BRIDGE,KERALA,28.5,7.8,7.1,119.0,0.7,0.87,875.0,1725.0,2011.0
1548,ASSONORA AT ASSONORA,NAN,20.3,5.6,6.7,49.0,1.25,2.0,,,
2053,NAN,TUIRIAL LOWER CATCHMENT,26.0,7.9,7.5,350.0,1.8,,41.0,90.0,2009.0
3383,"BUGI RIVER AT MIBANPARA, SOUTH GARO HILLS",MEGHALAYA,24.4,7.2,7.3,99.0,2.2,1.0,26.0,57.0,2013.0
37,"KRISHNA AT SANGLI, MAHARASHTRA",MAHARASHTRA,23.7,7.0,7.5,711.0,3.0,1.4,,90.0,
2423,"BUDHABALANGA, D/S OF BARIPADA TOWN",ORISSA,23.4,7.5,7.8,237.0,1.4,0.89,8281.0,18918.0,2013.0
2625,MARKANDA D/S KALA AMB/ BOUNDARY OF HARYANA,HIMACHAL PRADESH,24.5,7.6,7.9,344.0,1.6,0.4,12.0,22.0,2014.0
2702,,,19.60487694,8.593433577,7.513696007,3101.0,15.6,1.095854032,5073.0,8925.0,
2763,"ASANGI NALLA AT ASANGI VILLAGE, KARNATAKA",KARNATAKA,27.3,7.0,8.1,734.0,1.3,0.9,820.0,1460.0,
,,,22.0,6.449173538999999,7.7,44000.0,2.3,2.3966941569999998,,,
2297,ANCHARAKANDY AT MERUVAMBA,NAN,28.1,6.9,6.1,86.0,0.6,0.49,73.0,183.0,2010.0
1400,"MANDOVI AT NEGHBOURHOOD OF PANAJI, GOA",GOA,28.8,6.0,6.2,106.0,1.5,0.28,9.0,166.0,2011.0
,,,22.0,6.460632797000001,7.7,690.0,9.6,2.4425311869999997,3355.0,5672.0,
1624,"LILONG, MANIPUR",NAN,23.0,6.15,7.45,234.0,2.0,,,222.0,2010.0
1643,"NAGAVALLI AT RAYAGADA D/S, ORISSA",ORISSA,24.8,7.4,8.0,263.0,1.7,0.65,3113.0,6617.0,2011.0
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,24.4,8.5,8.3,404.0,4.2,2.0,19500.0,32417.0,
1726,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",TRIPURA,27.5,6.6,7.7,183.0,3.7,1.55,415.0,575.0,2013.0
1625,"HUMP BRIDGE, MANIPUR",NAN,23.0,7.3,112.0,8.1,17.2,,,225.0,2003.0
1384,MANIMALA AT THONDRA,KERALA,27.0,6.8,6.9,116.0,1.7,0.4,825.0,1260.0,2012.0
2731,KOSI RIVER AT KASHIPUR BAJPUR ROAD BRIDGE,UTTARAKHAND,22.3,7.9,7.1,386.0,6.4,0.0,,,
1572,CHANDRAGIRI AT PADIYATHADKA,KERALA,28.0,7.5,7.2,52.0,0.6,0.15,285.0,900.0,2011.0
NAN,"NAGAVALLI AT JAYKAYPUR D/S, ORISSA",NAN,27.0,6.0,7.55,214.5,3.125,0.895,2600.0,10950.0,2005.0
2461,"DAMANGANGA AT DAMAN JETTY, MOTI DAMAN",DAMAN & DIU,20.0,7.1,7.7,281.0,,0.34,,399.0,
1643,,,10.82465418,9.789585022,7.082465418,49.0,1.6,4.175345815,2568.0,2448.0,
3374,"WAH BLEI AT SHDADDKHAR, WEST KHASI HILLS",MEGHALAYA,19.9,7.6,7.3,65.0,1.9,3.8,21.0,43.0,2014.0
3187,MANDOVI NEAR HOTEL MARRIOT,GOA,10.45386966,9.344643595,7.045386966000001,76.0,0.8,4.546130338,,,
1024,"GHAGGAR AT 100M D/S CONF. WITH R. SARASWATI (PATIALA),PUNJAB",NAN,21.0,5.3,7.4,1095.0,27.0,3.35,48000.0,217500.0,2008.0
1573,"CHITRAPUZHA AT IRUMPANAM, KERALA",KERALA,28.8,3.4,6.7,2965.0,2.3,1.11,271.0,1236.0,2013.0
1543,"RIVER KALNA AT CHANDELNAN PERNEM, GOA",GOA,27.8,7.1,7.1,176.0,1.2,0.1,4573.0,7817.0,2014.0
1978,RANJITNAGAR TALAV,GUJARAT,29.0,5.7,7.6,2980.0,11.0,6.78,,,
1476,"MANDOVI AT TONCA, MARCELA, GOA",NAN,27.0,6.5,7.5,28.0,4.55,0.05,20.0,44.0,2008.0
,,,20.04122342,5.558776579,8.058776579,439.0,2.28,7.058776579,14.0,34.0,
2870,"THOUBAL  AT SHONG KONG, UKHRUL",MANIPUR,28.0,9.1,7.3,217.0,3.9,,,67.0,2012.0
1094,"ULHAS AT U/S OF BADLAPUR, MAHARASHTRA",NAN,28.714000000000002,6.7,7.307,121.5,3.8569999999999998,0.264,9.0,162.0,2006.0
1159,"TAMBIRAPARANI AT BDG.NR. MADURA COATS LTD.PAPAVINASAM,TAMILNADU",TAMILNADU,22.8,6.8,6.6,63.0,2.9,0.1,11.0,36.0,2014.0
2270,"RIVER KHANDEPAR AT CODLI NEAR BRIDGE ,U/S OPA WATERWORKS,SANGUEM",GOA,29.7,7.1,6.6,76.0,1.0,0.12,2367.0,3527.0,2013.0
1399,ZUARI AT D/S OF PT. WHERE KUMBARJRIA CANAL JOINS,GOA,13.57857149,9.578502737,7.223969782999999,64.0,0.6,3.129732123,,5.0,
2275,,,10.23065513,9.076786161,7.023065513,169.0,2.1,4.769344866,,70.0,
3355,"UMIAM MAWPHLANG RIVER AT MAWPHLANG, EAST KHASI HILLS",MEGHALAYA,18.0,8.0,7.2,42.0,1.4,2.47,5.0,31.0,2012.0
1865,RIVER DHADAR AT KOTHADA,NAN,25.5,,7.885,896.5,15.0,0.42,3.0,10.0,2006.0
1627,"KIYAMGI, MANIPUR",NAN,24.0,7.1,7.3,156.0,2.0,,,89.0,2007.0
2290,R PUZHACKAL AT PUZHACKAL BRIDGE,KERALA,16.96602992,9.024783571,7.386828361,100.0,4.2,1.9864649030000001,,652.0,
2199,SAVITRI RIVER AT OVALE VILLAGE.,NAN,23.0,6.8,6.6,6232.0,2.13,2.72,6.0,106.0,2008.0
1436,"BHADAR D/S JETPUR VILL. AFTER CONF. OF W.WATER FROM JETPUR CITY,GUJARAT",NAN,29.0,5.6,8.0,1265.0,2.13,0.1,503.0,1693.0,2008.0
2287,R ITHIKKARA AT ITHIKKARA,KERALA,10.16554253,8.816554253,7.024831379,1103.0,14.3,5.1820967819999995,108.0,413.0,
1571,"R KARINGODE AT KAKKADAVU,  KERALA",KERALA,29.6,7.0,6.9,51.0,1.1,0.18,44.0,317.0,2013.0
1476,"MANDOVI AT TONCA, MARCELA, GOA",NAN,30.0,6.4,7.45,142.8,2.025,0.155,1787.0,4073.0,2006.0
1154,"CHALAKUDY AT PULICKALKANANDAVU, KERALA",NAN,29.0,6.8,6.6,115.0,2.0,0.5,148.0,635.0,2007.0
2689,"PATALGANGA RIVER AT GAGANGIRI MAHARAJ TEMPLE, KHOPOLI, RAIGAD.",MAHARASHTRA,28.7,7.1,7.8,112.0,3.2,0.63,43.0,88.0,2013.0
1462,"PATALGANGA NEAR INTAKE OF MIDC W/W, MAHARASHTRA",MAHARASHTRA,18.82925383,8.978059627,7.141462692,176.0,3.5,2.5646417390000003,4.0,8.0,
,,,21.0,6.0820186,7.7,231.0,1.5,3.307247675,13.0,31.0,
1475,ZUARI AT PANCHAWADI,GOA,19.36829042,8.573782185,7.168414521,906.0,25.3,2.2816475290000002,7.0,363.0,
1628,"MINUTHONG(IMPHAL RIVER, MANIPUR",NAN,23.0,7.1,7.2,127.0,2.0,,,60.0,2007.0
2688,"PATALGANGA RIVER AT SAVROLI BRIDGE, KHALAPUR, RAIGAD.",MAHARASHTRA,27.2,6.1,7.3,196.0,6.1,0.5,30.0,63.0,
1563,"R NEYYAR AT AMARAVILA, KERALA",KERALA,25.3,6.7,7.1,66.0,0.6,0.0,222.0,626.0,2014.0
1470,"GANGA AT GARDEN REACH, WEST BENGAL",WEST BENGAL,26.4,6.1,8.1,322.0,3.2,0.7,310417.0,542917.0,
1565,"PAMBA DOWN, KERALA",KERALA,28.3,3.9,6.9,62.0,0.5,0.7,155.0,284.0,2014.0
1329,,,10.78989429,9.747873147,7.078989429,297.0,1.0,4.210105711000001,30.0,7.0,
1150,"DAMANGANGA AT KACHIGAON U\S AT GIDC WIER,GUJARAT",GUJARAT,27.1,7.3,7.9,693.0,0.5,1.0,161.0,173.0,2013.0
1343,AHMEDABAD,GUJARAT,27.6,6.5,8.6,649.0,21.8,4.0,5064.0,2487.0,
2170,"KANHAN RIVER U/S OF M/S VIDHARBHA PAPER MILL, SINORA.",MAHARASHTRA,24.4,5.5,8.2,534.0,10.1,2.7,103.0,157.0,
1718,GAGGAR RIVER WHEN ENTERING IN RAJASTHAN FROM HARYANA NEAR RD NO. 629,RAJASTHAN,18.94839653,8.8887026,7.147419827,86.0,3.6,2.50209182,3176.0,6367.0,
1152,"KUNDALIKA AT ROHA CITY, MAHARASHTRA",NAN,27.0,6.7,7.6,109.0,4.13,0.28,260.0,624.0,2008.0
1162,TAMBIRAPARANI AT MURAPPANADU,NAN,28.4,6.9,7.0,236.0,1.9,0.25,83.0,157.0,2010.0
1339,MEENACHIL AT KIDANGOOR,KERALA,10.76946067,9.723352802,7.076946067000001,141.0,1.4,4.230539331,,200.0,
1154,CHALAKUDY AT PULICKALKANANDAVU,NAN,28.2,6.5,6.5,118.0,1.1,0.52,610.0,3080.0,2010.0
1093,"ULHAS AT U/S OF NRC BUND AT MOHANE, MAHARASHTRA",MAHARASHTRA,28.0,5.9,7.7,194.0,5.5,0.6,22.0,51.0,
2702,"SAVITRI RIVER AT SHEDAV DOH, MAHAD,RAIGAD",MAHARASHTRA,10.64639522,8.864639522000001,7.0969592829999995,58.0,0.5,5.711034744,740.0,1390.0,
2305,R SHRIYA AT ANGADIMOGARU,KERALA,10.11182895,8.934194737999999,7.011182895,167.1,2.8,4.888171052,16.0,557.0,
NAN,"PAMBA AT CHENGANNUR, KERALA",NAN,,6.9,6.95,51.3,0.625,0.518,1525.0,3100.0,2005.0
20,CHALIYAR AT KOOLIMADU,KERALA,10.57693831,9.492325974,7.057693831,48500.0,,4.423061688,2.0,1450.0,
2880,"NAMBUL RIVER AT  BISHNUPUR, MANIPUR",MANIPUR,20.0,4.8,7.0,167.1,2.8,,,,2011.0
